CustomerID,Frecuencia,monto,Precio ,Recencia,Pais
12347,7,44,1.74,2,Iceland
12348,1,201,0.52,358,Finland
12349,1,179,3.80,18,Italy
12350,1,25,2.10,310,Norway
12352,5,37,4.72,80,Norway
12353,1,40,9.95,204,Bahrain
12354,1,56,3.49,232,Spain
12355,1,18,2.95,214,Bahrain
12356,2,75,1.01,245,Portugal
12357,1,557,2.14,33,Switzerland
12359,5,137,11.65,7,Cyprus
12360,3,59,2.07,52,Austria
12361,1,17,1.65,287,Belgium
12362,10,56,3.19,3,Belgium
12363,2,24,1.35,109,Unspecified
12364,3,63,1.20,7,Belgium
12365,1,13,1.25,291,Cyprus
12367,1,10,4.95,4,Denmark
12370,3,90,4.67,51,Cyprus
12371,2,262,21.37,44,Switzerland
12372,3,59,2.02,71,Denmark
12373,1,39,1.95,311,Austria
12374,1,185,4.20,25,Austria
12375,2,30,21.04,10,Finland
12377,2,70,1.56,315,Switzerland
12378,1,440,1.82,129,Switzerland
12379,2,32,1.90,81,Belgium
12380,4,75,2.71,21,Belgium
12381,4,63,4.45,4,Norway
12383,4,47,1.28,238,Belgium
12384,3,20,3.68,28,Switzerland
12386,1,101,2.82,366,Australia
12388,5,81,2.13,75,Australia
12390,1,66,1.64,79,Belgium
12391,1,98,1.27,21,Cyprus
12393,3,73,1.96,72,Australia
12394,2,76,2.90,63,Belgium
12395,10,29,1.42,19,Belgium
12397,2,113,1.85,35,Belgium
12398,1,162,0.91,45,Switzerland
12399,1,15,1.25,213,Belgium
12401,1,26,12.75,303,Belgium
12402,1,55,2.50,323,Belgium
12405,1,200,3.18,148,Finland
12406,2,319,1.76,22,Denmark
12407,4,51,1.02,134,Belgium
12408,5,67,4.49,32,Belgium
12409,2,743,1.48,78,Switzerland
12410,1,67,2.38,308,Switzerland
12412,3,94,2.20,74,Denmark
12413,1,18,18.00,66,France
12414,1,20,1.65,217,Austria
12415,16,828,17.98,24,Australia
12417,9,51,4.05,3,Belgium
12418,1,50,0.76,112,Switzerland
12420,1,44,0.69,63,Cyprus
12421,3,27,2.78,15,Spain
12422,2,33,1.76,168,Australia
12423,7,48,1.36,0,Belgium
12424,1,118,2.95,162,Australia
12425,1,56,2.14,78,Portugal
12426,1,18,2.95,194,Germany
12427,2,-13,1.08,11,Germany
12428,8,113,8.34,25,Finland
12429,3,97,2.84,172,Denmark
12430,1,77,1.74,43,Norway
12431,11,42,4.47,60,Australia
12432,3,218,3.01,42,Norway
12433,6,242,1.16,0,Norway
12434,2,67,4.84,84,Australia
12435,2,444,8.22,79,Denmark
12436,1,13,0.55,99,Norway
12437,11,47,3.00,9,France
12438,2,167,4.93,14,Norway
12441,1,51,2.67,366,France
12444,3,182,3.55,21,Norway
12445,1,17,1.45,22,Spain
12446,1,70,2.51,57,RSA
