Ventas,grpsTV,Radio,Prensa,grpsTVComp,SEM,Mkdirecto,mailing1,mailing2,mailing3,mailing4
2422,246,0,0,1523,25731,0,0,8001,0,0
2891,301,68189,0,1594,29047,0,0,3200,0,0
3122,241,81826,0,1471,29047,0,0,1280,0,0
3030,210,84554,0,1340,29047,0,0,512,0,0
2584,87,85099,0,1043,29047,0,0,205,0,0
2047,80,84654,0,597,16099,0,0,0,0,0
3223,119,84565,0,679,16099,0,0,0,0,0
2557,103,84547,0,420,16099,0,0,0,0,0
1246,41,48793,0,204,16099,0,0,0,0,0
2394,161,1952,0,878,18733,0,0,0,0,0
3183,281,0,0,1197,22530,0,0,0,0,0
3464,307,0,0,1168,23982,18677,0,0,0,0
3230,301,0,0,1304,24523,7471,0,0,0,0
3046,288,0,0,1343,26634,18105,0,0,0,0
3390,274,0,0,1269,28464,7242,0,0,0,0
2984,308,0,0,1235,29521,2897,0,0,0,0
2932,242,0,0,1322,28100,1159,0,0,0,0
2857,343,0,10915,2170,24072,463,0,0,0,0
2815,360,67114,13098,2375,25164,15261,0,0,0,0
1254,185,63681,13534,1840,16494,6105,0,0,0,0
2568,208,68168,13621,1997,24354,2442,0,0,0,0
2968,212,42993,9636,2134,26369,20187,0,0,0,0
2909,180,45298,8838,2204,29296,8075,0,0,0,0
2903,188,44924,8679,1685,29053,3230,0,0,0,0
2857,199,43596,8647,1477,24586,1292,0,0,0,0
1659,155,29486,8641,1354,21002,517,0,0,0,0
2467,179,5897,11392,1465,24701,207,0,0,0,0
2570,187,1179,11942,1495,27498,24675,0,0,0,0
2618,211,0,12052,1529,26025,15744,0,0,0,0
2709,222,0,12074,1664,28970,6298,0,0,0,0
2823,228,0,21533,2147,28576,2519,0,0,0,0
3600,246,15905,23424,2362,24295,1008,0,0,0,0
3405,236,19085,23802,2214,26165,17904,0,0,0,0
3332,228,22901,23878,2214,23481,7162,0,0,0,0
2675,221,20484,5573,1716,23883,20421,0,0,0,0
3298,218,4097,1912,2177,23951,8168,0,0,0,0
3011,235,819,1180,2239,22719,3267,0,0,0,0
2770,250,0,1034,2178,21370,1307,0,0,0,0
2574,224,0,1005,1981,21806,523,0,0,0,0
2454,199,0,0,1928,18715,209,0,0,0,0
1768,140,0,0,1682,15739,0,0,0,0,0
1981,60,0,0,1547,16601,0,0,0,0,0
2433,119,0,0,1570,18189,0,0,0,0,0
1850,53,0,0,1439,19051,0,0,0,0,0
1830,21,0,0,1421,18606,0,0,0,0,0
2183,8,0,0,1159,20964,35025,0,0,0,0
2153,3,0,0,1151,20727,14010,0,0,0,0
2160,1,0,0,1141,21225,23048,0,0,0,0
2435,88,0,0,1669,21941,9219,0,0,0,0
2332,145,0,0,2457,21600,3688,0,0,0,0
2319,132,0,0,2271,23257,1475,0,0,0,0
2222,136,0,0,2352,22190,590,0,0,0,0
2182,124,0,0,2225,21557,236,0,0,0,0
2131,104,0,0,2288,22229,0,0,0,0,0
2466,149,0,0,2153,20960,0,0,0,0,0
2352,167,0,0,2059,22285,0,0,0,0,0
2346,175,0,0,2936,23176,0,0,0,0,0
2131,206,0,0,2590,19783,0,0,0,0,0
2150,166,0,0,2393,18361,0,0,0,0,0
1016,67,0,0,1625,14079,0,0,0,0,0
1215,27,0,0,1014,17177,0,0,0,0,0
1773,50,0,0,1200,20994,0,0,0,0,0
3103,179,0,0,1676,29175,0,0,0,0,0
3287,206,0,0,2687,2808,50000,0,0,0,0
2978,195,0,0,3176,0,20000,0,0,0,0
3251,245,0,0,3043,0,33000,0,0,0,0
3167,262,0,0,3045,1336,13200,149962,0,0,0
3307,248,0,0,3625,23553,5280,59985,0,0,0
3267,259,0,0,3894,27252,2112,23994,0,0,0
3611,297,0,11135,3666,29128,38336,9598,0,0,0
3691,295,0,13362,3064,27509,15334,3839,0,0,0
3173,237,0,13807,2799,27383,6134,1536,0,0,0
3822,273,0,13896,2819,31015,2453,614,0,0,0
3207,261,0,10084,2271,27424,47716,246,0,0,0
1926,178,0,9322,1469,18799,19087,0,0,0,0
3205,154,0,9169,1871,45065,7635,0,0,0,0
3077,139,0,9139,2775,34001,3054,0,0,0,0
2114,122,0,9133,2530,19023,1222,0,0,0,0
3064,127,0,3765,2491,28719,39591,0,0,0,0
3005,194,0,2692,2696,23881,15836,0,0,0,0
2982,177,0,2477,2599,23881,6334,0,0,0,0
3046,229,0,2434,2589,23291,2534,0,0,0,0
3924,324,0,0,2883,25845,35991,0,0,0,0
3446,270,0,0,3164,26122,14396,0,0,0,0
3279,272,0,0,3549,24803,5758,0,0,0,0
3290,263,29166,0,3296,33992,2303,0,0,0,0
3647,285,33300,0,3037,14473,33066,0,0,0,0
3507,246,49437,0,2910,24974,13227,0,0,0,0
3740,282,40186,0,2861,26250,5291,0,0,250971,0
3907,316,8037,0,2498,27098,2116,0,0,100388,0
3311,264,1607,0,2113,24290,846,0,0,40155,0
3045,208,0,0,2052,22795,37166,0,0,16062,0
2660,193,0,0,1976,20164,14866,0,0,6425,0
2542,195,0,0,2033,19579,5946,0,0,2570,0
2649,161,0,0,1923,21026,2379,0,0,1028,0
2903,137,0,0,1922,25567,33739,0,0,411,0
3186,138,0,0,1636,26260,13496,0,0,0,0
3074,127,0,0,1545,26997,5398,0,0,0,0
2997,139,0,0,1800,26053,2159,0,0,0,0
2957,145,0,0,1925,27149,54910,0,0,0,0
3162,183,0,0,2699,27209,21964,0,0,0,0
