Oficina Registral,USO VEHICULO,CLASE AAP,SUB-CLASE,CARROCERIA,CATEGORIA,MARCA,MODELO,VERSION,ORIGEN,COMBUSTIBLE,FORMULA RODANTE,PBV,CILINDRADA,# ASIENTO,AÑO_MOD,ENERO,FEBRERO,total
AREQUIPA,"Categorias L1, L2, L3 y L4",CAMIONES Y TRACTO,CAMIONES,CHASIS CABINADO,N3,SCANIA,P320 B6X4,P320B6X4NZ,BRAZIL,DIESEL,6X4,25000,9300,2,2021,1,0,1
AREQUIPA,Placa Gubernamental - Vehiculos Livianos y Pesados,CAMIONES Y TRACTO,CAMIONES,CHASIS CABINADO,N2,MERCEDES BENZ,ACCELO 815,ACCELO 815/37,BRAZIL,DIESEL,4X2,9100,4800,3,2021,0,1,1
AREQUIPA,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,CAMIONES,BARANDA,N2,DONGFENG,DF-915,DF-915 B5,CHINA,DIESEL,4X2,9000,3760,3,2021,0,1,1
AREQUIPA,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,CAMIONES,BARANDA,N2,FORLAND,F400N,BJ1049V9JDA-1,CHINA,DIESEL,4X2,6650,2771,3,2021,0,2,2
AREQUIPA,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,CAMIONES,BARANDA,N2,FORLAND,F400N DC,BJ1049V8ADA-1,CHINA,DIESEL,4X2,6750,2771,5,2021,0,1,1
AREQUIPA,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,CAMIONES,BARANDA,N2,FOTON,BJ1108VEJED-FA,BJ1108VEJED-FA,CHINA,DIESEL,4X2,10800,3760,3,2021,0,1,1
AREQUIPA,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,CAMIONES,BARANDA,N2,FOTON,AUMARK E 3T BAR,BJ1065VDJD4-F1,CHINA,DIESEL,4X2,5900,2771,3,2021,0,1,1
AREQUIPA,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,CAMIONES,BARANDA,N2,FOTON,AUMARK E 4T BAR,BJ1069VDJDA-F1,CHINA,DIESEL,4X2,6900,2771,3,2021,0,3,3
AREQUIPA,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,CAMIONES,BARANDA,N2,JAC,HFC1040KN,D400 121 BAR 4.0T EIV,CHINA,DIESEL,4X2,6600,2746,3,2021,1,1,2
AREQUIPA,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,CAMIONES,BARANDA,N2,JAC,HFC1040KN,D400 121 BAR 4.0T EIV,CHINA,DIESEL,4X2,6600,2746,3,2022,0,1,1
AREQUIPA,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,CAMIONES,BARANDA,N2,JAC,HFC1040KRN,D400DC VIP BAR 4.0T CRDI DOB CAB E4,CHINA,DIESEL,4X2,6560,2771,6,2021,1,4,5
AREQUIPA,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,CAMIONES,BARANDA,N2,JAC,HFC1071KN,D700L VIP BAR 7.0T EIV,CHINA,DIESEL,4X2,10660,3760,3,2021,1,0,1
AREQUIPA,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,CAMIONES,BARANDA,N3,DONGFENG,DF-1417,DF-1417 B4,CHINA,DIESEL,4X2,14490,3800,3,2021,0,1,1
AREQUIPA,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,CAMIONES,FURGON,N2,FORLAND,F400N CB,BJ1049V9JDA-1,CHINA,DIESEL,4X2,7000,2771,3,2021,1,3,4
AREQUIPA,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,CAMIONES,FURGON,N2,FOTON,BJ1041V8ADA-F1,BJ1041V8ADA-F1,CHINA,DIESEL,4X2,6500,2780,7,2021,0,1,1
AREQUIPA,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,CAMIONES,FURGON,N2,FOTON,BJ1065VDJD4-F1,BJ1065VDJD4-F1,CHINA,DIESEL,4X2,6900,2771,2,2020,1,0,1
AREQUIPA,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,CAMIONES,FURGON,N2,FOTON,BJ1065VDJDA-F1,BJ1065VDJDA-F1,CHINA,DIESEL,4X2,6500,2780,3,2021,0,1,1
AREQUIPA,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,CAMIONES,HORMIGONERA,N3,CAMC,HN5250P34C6M3GJB,M-345 H7,CHINA,DIESEL,6X4,39000,9840,2,2020,0,1,1
AREQUIPA,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,CAMIONES,HORMIGONERA,N3,FOTON,AUMAN,2020,CHINA,DIESEL,6X4,25000,9726,2,2020,0,1,1
AREQUIPA,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,CAMIONES,HORMIGONERA,N3,FOTON,BJ5319GJB-AF,BJ5319GJB-AF,CHINA,DIESEL,8X4,39000,11800,2,2019,1,0,1
AREQUIPA,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,CAMIONES,HORMIGONERA,N3,FOTON,BJ5319GJB-AF,BJ5319GJB-AF,CHINA,DIESEL,8X4,41000,11800,2,2020,0,1,1
AREQUIPA,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,CAMIONES,VOLQUETE,N2,SINOTRUK CDW,CDW3160A1N4,STANDARD,CHINA,DIESEL,4X2,9300,3298,2,2019,0,1,1
AREQUIPA,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,CAMIONES,VOLQUETE,N3,FORLAND,FD600,BJ3122V4PDB-FL,CHINA,DIESEL,4X2,13500,3760,3,2021,2,0,2
AREQUIPA,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,CAMIONES,VOLQUETE,N3,FOTON,BJ3319DMPKC-AB,BJ3319DMPKC-AB,CHINA,DIESEL,8X4,50000,11800,2,2020,0,1,1
AREQUIPA,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,CAMIONES,VOLQUETE,N3,SITOM,STQ3121L03Y2N5,S/V,CHINA,DIESEL,4X2,15800,4257,3,2020,1,0,1
AREQUIPA,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,CAMIONES,VOLQUETE,N3,SITOM,STQ3121L03Y2N5,SIN VERSION,CHINA,DIESEL,4X2,15800,4257,3,2020,0,1,1
AREQUIPA,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,CAMIONES,CHASIS CABINADO,N2,DONGFENG,DF-1016,DF-1016 C4,CHINA,DIESEL,4X2,10500,3800,3,2021,0,1,1
AREQUIPA,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,CAMIONES,CHASIS CABINADO,N2,FORLAND,F400N CH,BJ1049V9JDA-1,CHINA,DIESEL,4X2,6650,2771,3,2021,0,1,1
AREQUIPA,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,CAMIONES,CHASIS CABINADO,N2,FOTON,BJ1108VEJED-FA,BJ1108VEJED-FA,CHINA,DIESEL,4X2,10800,3760,3,2021,0,1,1
AREQUIPA,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,CAMIONES,CHASIS CABINADO,N2,FOTON,BJ1129VHPEG-F1,BJ1129VHPEG-F1,CHINA,DIESEL,4X2,10000,3760,3,2021,2,2,4
AREQUIPA,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,CAMIONES,CHASIS CABINADO,N2,FUSO,CANTER,EURO 4 - 4 TON,JAPAN,DIESEL,4X2,6500,2977,3,2021,0,1,1
AREQUIPA,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,CAMIONES,CHASIS CABINADO,N2,FUSO,CANTER,EURO 4 - 5 TON PLUS,JAPAN,DIESEL,4X2,8200,4899,3,2021,1,0,1
AREQUIPA,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,CAMIONES,CHASIS CABINADO,N2,FUSO,CANTER,EURO 5 - 4TON,JAPAN,DIESEL,4X2,6499,2998,3,2021,0,1,1
AREQUIPA,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,CAMIONES,CHASIS CABINADO,N2,FUSO,CANTER,EURO 5 - 5TON,JAPAN,DIESEL,4X2,7500,2998,3,2021,0,3,3
